	is_ML	Total
1994-03-11	169	117354
1994-03-25	178	117708
1994-04-08	176	118013
1994-04-22	177	118514
1994-05-06	177	119073
1994-05-20	178	119463
1994-06-03	172	120134
1994-06-17	175	120284
1994-07-01	173	121045
1994-07-15	175	121377
1994-07-29	175	121654
1994-08-12	170	122415
1994-08-26	169	122639
1994-09-09	174	123167
1994-09-23	175	123465
1994-10-07	181	124169
1994-10-21	180	124534
1994-11-04	182	125403
1994-11-18	180	125698
1994-12-02	185	126712
1994-12-16	182	126729
1994-12-30	179	126674
1995-01-13	207	135622
1995-01-27	207	135452
1995-02-10	208	135138
1995-02-24	209	135103
1995-03-10	208	134496
1995-03-24	199	134406
1995-04-07	198	134163
1995-04-21	198	134097
1995-05-05	199	133851
1995-05-19	201	133752
1995-06-02	205	133282
1995-06-16	203	133392
1995-06-30	204	133265
1995-07-14	201	132829
1995-07-28	202	132662
1995-08-11	202	131985
1995-08-25	202	131897
1995-09-08	205	131805
1995-09-22	205	131776
1995-10-06	207	131340
1995-10-20	205	131233
1995-11-03	203	130659
1995-11-17	203	130347
1995-12-01	203	129680
1995-12-15	203	129821
1995-12-29	203	130225
1996-01-12	228	117151
1996-01-26	229	117875
1996-02-09	227	118274
1996-02-23	226	118974
1996-03-08	227	119561
1996-03-22	227	120530
1996-04-05	234	121229
1996-04-19	236	122236
1996-05-03	237	122633
1996-05-17	234	123145
1996-05-31	238	123711
1996-06-14	235	124415
1996-06-28	233	125138
1996-07-12	232	125728
1996-07-26	233	126553
1996-08-09	232	127521
1996-08-23	235	128629
1996-09-06	230	129213
1996-09-20	231	129929
1996-10-04	227	130883
1996-10-18	227	131926
1996-11-01	228	133248
1996-11-15	228	134628
1996-11-29	229	135852
1996-12-13	249	148828
1996-12-27	249	149685
1997-01-10	233	141227
1997-01-24	233	141354
1997-02-07	232	141775
1997-02-21	234	142001
1997-03-07	238	142781
1997-03-21	237	142979
1997-04-04	231	143692
1997-04-18	230	143968
1997-05-02	232	144766
1997-05-16	232	145005
1997-05-30	229	145110
1997-06-13	227	146111
1997-06-27	232	146493
1997-07-11	236	147581
1997-07-25	237	148031
1997-08-08	235	149107
1997-08-22	250	149482
1997-09-05	249	150021
1997-09-19	251	150433
1997-10-03	250	151521
1997-10-17	250	151450
1997-10-31	252	151244
1997-11-14	251	151472
1997-11-28	251	151445
1997-12-12	255	150673
1997-12-26	254	150585
1998-01-09	250	146129
1998-01-23	249	146435
1998-02-06	250	147138
1998-02-20	249	147109
1998-03-06	248	147483
1998-03-20	252	150261
1998-04-03	260	151340
1998-04-17	262	151290
1998-05-01	262	152253
1998-05-15	264	152647
1998-05-29	267	153032
1998-06-12	270	153076
1998-06-26	268	153582
1998-07-10	265	154052
1998-07-24	266	154065
1998-08-07	270	154170
1998-08-21	257	154275
1998-09-04	262	154317
1998-09-18	261	154575
1998-10-02	264	154341
1998-10-16	267	154973
1998-10-30	263	155185
1998-11-13	278	155743
1998-11-27	280	156202
1998-12-11	261	149961
1998-12-25	264	149810
1999-01-08	267	150744
1999-01-22	266	150940
1999-02-05	268	151728
1999-02-19	270	152111
1999-03-05	268	152079
1999-03-19	265	152030
1999-04-02	270	148907
1999-04-16	273	149130
